1,7990006,0
1,7990071,0.00260393
1,7990084,0.0112
1,7990098,0.0256999
1,7990110,0.0426964
1,7990123,0.063752
1,7990136,0.0909251
1,7990149,0.124944
1,7990162,0.1606
1,7990175,0.19979
1,7990189,0.245479
1,7990201,0.28711
1,7990214,0.334331
1,7990227,0.379462
1,7990240,0.433439
1,7990253,0.484295
1,7990266,0.535313
1,7990279,0.585965
1,7990292,0.63572
1,7990305,0.680405
1,7990318,0.730487
1,7990333,0.777785
1,7990345,0.815676
1,7990357,0.853553
1,7990370,0.887748
1,7990384,0.917904
1,7990396,0.943707
1,7990409,0.964888
1,7990422,0.981228
1,7990435,0.992555
1,7990449,0.998751
1,7990461,1
10,7990006,0
10,7990527,0.00221902
10,7990539,0.00885637
10,7990553,0.0221035
10,7990565,0.0365717
10,7990578,0.0581172
10,7990591,0.0842652
10,7990604,0.117258
10,7990618,0.152044
10,7990631,0.190453
10,7990643,0.232087
10,7990657,0.276511
10,7990669,0.323263
10,7990682,0.371855
10,7990695,0.421783
10,7990709,0.476447
10,7990722,0.523553
10,7990735,0.578217
10,7990748,0.624345
10,7990760,0.673059
10,7990773,0.716436
10,7990786,0.76459
10,7990800,0.809547
10,7990812,0.845126
10,7990825,0.880203
10,7990838,0.91132
10,7990851,0.938153
10,7990864,0.958877
10,7990877,0.976727
10,7990890,0.990393
10,7990903,0.997396
10,7990916,1
2,7990006,0
2,7990123,0.00186481
2,7990136,0.00885637
2,7990149,0.0221035
2,7990162,0.0395773
2,7990175,0.0618467
2,7990189,0.0909251
2,7990201,0.119797
2,7990214,0.154874
2,7990227,0.190453
2,7990240,0.23541
2,7990253,0.28003
2,7990266,0.326941
2,7990279,0.375655
2,7990292,0.425664
2,7990305,0.472525
2,7990318,0.527475
2,7990333,0.582093
2,7990345,0.628145
2,7990357,0.676737
2,7990370,0.723489
2,7990384,0.767913
2,7990396,0.809547
2,7990409,0.847956
2,7990422,0.882742
2,7990435,0.91354
2,7990449,0.940032
2,7990461,0.96194
2,7990474,0.977897
2,7990488,0.991864
2,7990501,0.998135
2,7990514,1
3,7990006,0
3,7990175,0.00221902
3,7990189,0.0103886
3,7990201,0.0221035
3,7990214,0.0395773
3,7990227,0.0599684
3,7990240,0.0886797
3,7990253,0.119797
3,7990266,0.154874
3,7990279,0.193546
3,7990292,0.23541
3,7990305,0.276511
3,7990318,0.326941
3,7990333,0.379462
